year,econ_loss
1974,84.5988
1974,3.995
1974,59.81191
1974,0.0245
1975,0.245
1975,0.05
1975,0.0735
1975,0.5185
1975,0.08
1976,0.48951
1976,0.1666
1976,0.1225
1976,0.0245
1976,6.547
1976,4.35262
1976,0.00245
1976,3.6
1976,0.3838
1976,3.43721
1976,0.0025
1976,0.595
1976,0.005
1976,0.08789
1976,0.0245
1976,0.02744
1977,5
1977,0.0024
1977,122.5
1977,0.008
1977,1
1977,0.06
1977,0.008
1977,4.00E-05
1978,0.065
1978,1.00E-06
1979,0.1
1979,1.5
1979,1
1979,0.075
1979,2.455
1979,17.9
1979,0.7375
1979,0.625
1979,5.45
1979,0.145
1979,6.625
1979,3.682
1979,18.475
1979,11.875
1979,55.41
1979,22.56
1979,3.1
1979,7.675013
1979,4.8
1979,11.9
1979,200.585
1979,18.78987
1979,11.5
1979,24.34876
1979,7
1979,5.5
1979,11
1979,2.2
1979,0.45
1979,0.07367
1980,0.0004
1980,5.089
1980,4.068
1980,1.2426
1980,0.0016
1980,0.0666
1980,0.0008
1980,0.06027
1980,1.7
1980,0.034
1980,0.00289
1980,0.0012
1980,0.017
1980,0.068
1980,0.06
1980,0.0012
1980,0.001
1981,0.065
1981,0.00129
1981,0.0008
1981,0.24
1981,0.2424
1981,0.000612
1981,0.1012
1981,0.0016
1982,0.000101
1982,0.765003
1982,0.001053
1982,1.8
1982,3.2
1982,0.0473
1982,0.02
1982,0.00021
1983,0.05139
1983,0.185
1983,5
1983,1.5
1983,1.75134
1983,0.0112
1983,0.02761
1983,0.16014
1983,0.054
1983,0.035
1983,0.1649
1983,11.2
1983,0.244
1983,0.0375
1983,0.09
1983,0.0008
1983,0.025
1983,0.85
1983,1.9906
1983,0.034
1983,0.03468
1983,0.04
1983,5.0125
1983,7.45427
1983,0.05
1983,0.0075
1983,0.1
1983,2.1805
1983,0.04
1983,0.0125
1984,0.0016
1984,0.03224
1984,0.53
1984,0.2575
1984,0.08
1984,0.02
1984,0.0052
1984,0.006
1985,0.245
1985,0.0008
1985,6.49985
1985,0.001
1986,0.004
1987,0.13
1987,0.065
1987,0.0016
1987,0.4
1987,0.098
1987,2.45
1987,0.00801224
1987,0.0748
1987,0.0024
1987,0.0024
1987,0.0674
1987,0.4
1987,0.0004236
1987,0.0056
1987,0.0016
1987,0.09065
1987,0.76146
1988,0.735
1988,0.00289
1988,0.0098
1988,0.238
1988,6.91492
1988,1.1738
1988,4.152
1988,1.2
1988,0.17
1988,26.4707
1988,0.245
1988,0.85
1988,2.975
1988,0.085
1988,11.76
1989,0.08
1989,2.83005
1989,0.051
1989,40.13679
1989,0.017
1989,1.54802
1989,22.60514
1989,1.2
1989,3.44
1989,8.705
1989,0.1772
1989,0.0147
1989,1.47
1990,0.04
1990,0.01
1990,1.225
1990,2.04
1990,22.075
1990,45.08
1990,0.06419
1990,3.59758
1991,6.7
1991,1.57125
1991,50
1991,13.5
1991,57.825
1991,311
1991,2
1991,0.41497
1992,0.9945
1992,0.017
1992,0.01445
1992,0.049
1992,0.10115
1992,0.263
1992,0.0105
1992,0.291
1992,0.2279
1992,0.2856
1992,0.017
1992,0.02278
1992,0.0008
1993,166
1993,0.00129
1993,4.67789
1993,1.53
1993,26.3699
1993,0.051
1993,29.6
1993,5.39
1993,0.42245
1993,0.272
1993,0.56717
1994,0.04046
1994,10.4
1995,0.0928
1995,0.2
1995,0.0578
1995,0.4
1995,0.065
1995,0.10388
1995,0.01734
1995,1.31
1995,0.527
1995,0.17297
1995,0.78094
1995,1.84365
1995,0.22491
1995,0.034
1995,4.00E-06
1995,1.7195
1995,1.38204
1995,0.12
1995,0.017
1995,0.04
1995,0.17
1995,0.00578
1995,0.024
1995,0.4
1995,50
1995,0.02601
1995,0.026
1996,1.00E-06
1996,0.098
1996,0.03723
1996,0.245
1996,1.47
1997,0
1998,80
1998,13.29963
1998,0.00210884
1998,0.0525822
1998,0.0010422
1998,0.065
1998,0.68
1998,3835.616438
1999,63.49206
1999,0.268217
1999,0.018817
1999,3.68421
1999,44.903925
1999,25.656765
1999,121.608536
1999,22.044
1999,0.05946
1999,42.194598
1999,0.370271
1999,28.849504
1999,17.837839
1999,129.82705
1999,32.258064
1999,0.526316
1999,0.003562
1999,0.014282
1999,113.513512
1999,2.793
1999,0.289
1999,39.71828
1999,0.07394
1999,5.986893
1999,0.034
1999,0.07027
1999,0.054055
1999,0.01989
2000,2.4
2000,0.06001
2000,11.41651
2000,0.00098
2000,4.0131
2001,0.00289
2001,0.085
2001,0.034
2001,0.1445
2001,0.2023
2001,1.50E-05
2001,24
2001,17.90362
2002,0.263158
2002,20
2002,0.004212
2002,69.76
2002,0.0019
2002,0.605263
2002,0.010526
2002,0.276315
2002,6.19027
2002,0.473984
2002,3.216026
2002,4.290526
2002,4.529397
2002,0.789407
2002,3.243243
2002,18.011476
2002,32.881286
2002,0.04913
2002,0.042105
2002,0.204
2002,0.010526
2002,0.010526
2002,0.59126
2002,3.452859
2002,30.07032
2002,0.357064
2002,4.937015
2002,7.127666
2002,1.546979
2002,1.229171
2002,0.01989
2002,210.28264
2002,1.286
2002,0.701281
2002,4.9
2002,3.280084
2002,0.00946
2002,20.15314
2003,0.1445
2003,0.4
2003,0.8
2003,0.0343
2003,0.102
2003,2.00E-05
2003,0.4335
2003,0.4
2003,1.96
2004,0.578
2004,0.03468
2004,0.1
2004,0.1785
2004,0.051
2004,0.051
2004,4.07631
2004,0.049
2005,0.011579
2005,0.216
2005,16.216216
2005,32.432431
2005,5.01333328
2005,0.270271
2005,32.451742
2005,0.014054
2005,2.67729
2005,0.04624
2005,0.2023
2005,3.44292
2005,3.55935
2005,0.0867
2005,0.149
2005,7.916842
2005,3.363158
2005,0.008947
2005,0.173684
2005,48.065
2005,6.047891
2005,51.932987
2005,52.02388
2005,1.871
2005,0.27027
2005,0.3
2005,71.12584
2005,0.827027
2005,24.273512
2005,18.65189
2005,12.163248
2005,13.502703
2005,0.0015
2006,0.08
2006,1.6
2006,0.64
2006,0.060016
2006,0.58115
2006,0.4
2006,0.032
2006,0.08
2006,0.16762
2006,24.34712
2006,0.005
2006,0.007
2007,0.57834
2007,2.108
2007,2.60523
2007,1.2
2007,0.17629
2007,12.31811
2007,0.00735
2007,2.71754
2008,2
2008,0.1445
2008,0.29155
2008,0.04
2008,0.02312
2008,0.68
2008,0.04
2008,7
2008,0.00867
2008,0.05746
2008,0.04
2008,0.536842
2008,0.01814
2008,0.04
2008,0.12435
2008,2.631579
2008,5.6935
2008,46.8845
2008,8.4133
2008,73.68871
2008,92.2135
2008,15.28849
2008,0.343
2008,0.0098
2008,0.3724
2009,0.0867
2009,0.255
2009,0.065
2009,0.08534
2009,0.00289
2009,0.51289
2009,0.85662
2009,0.07225
2009,0.90916
2009,49.54561
2009,9.27227
2009,0.10045
2009,0.22148
2009,0.01715
2010,3.79185
2010,0.017
2010,0.01445
2010,0.578
2010,0.8
2010,0.017
2010,0.37757
2010,0.13736
2010,65.73195
2010,0.12614
2010,0.0459
2010,0.02681
2010,0.03978
2010,0.00289
2010,1.65019
2010,0.00289
2010,0.03145
2010,0.14739
2010,0.12
2010,0.00289
2010,2.6
2010,11.60908
2010,0.15895
2010,4.92728
2010,1.0565
2010,0.028
2010,30.85442
2010,0.2907
2010,0.91885
2010,0.48807
2010,12.20394
2010,0.049
2010,0.29155
2011,0.01734
2011,0.102
2011,0.00867
2011,0.01156
2011,0.00289
2011,0.03145
2011,17.4901
2011,18.85524
2011,2.4
2011,0.05967
2011,0.02312
2011,0.50728
2011,0.54485
2011,0.0867
2011,0.05202
2011,0.04556
2011,0.72
2011,0.06613
2011,0.03179
2011,0.00289
2011,0.05168
2011,0.12716
2011,0.1377
2011,0.2652
2011,0.04046
2011,1.6184
2011,25.24908
2011,550.71884
2011,16.81862
2011,1.31401
2011,0.3077
2011,0.3145
2011,2.27164
2011,0.0735
2011,0.69024
2011,0.03978
2011,9.4
2011,34.41155
2012,0.07225
2012,0.034
2012,0.17445
2012,0.065
2012,3.31789
2012,0.01445
2012,0.74905
2012,2.59726
2012,1.96284
2012,0.0939
2012,0.187
2012,0.05168
2012,0.05678
2012,0.64
2012,0.00578
2012,0.26289
2012,0.13923
2012,0.59772
2012,0.00578
2012,0.0459
2012,0.0578
2012,4.5002
2012,0.23103
2012,0.00289
2012,0.1207
2012,0.1207
2012,0.07956
2012,0.05967
2012,0.05918
2012,0.45917
2012,0.04439
2012,0.01989
2012,0.12
2012,15.04005
2012,0.01989
2012,0.00289
2012,0.085
2012,13.8436766
2013,0.22525
2013,0.19074
2013,0.00867
2013,0.0289
2013,0.1989
2013,0.00289
2013,0.0578
2013,0.01156
2013,0.15827
2013,0.01989
2013,0.1479
2013,0.017
2013,0.27098
2013,0.0867
2013,0.23545
2013,0.09435
2013,0.02278
2013,0.03993
2013,0.02278
2013,0.01989
2013,0.02626
2013,0.23358
2013,0.002
2013,0.03978
2013,0.01989
2013,36.74373216
2014,0.03468
2014,2
2014,0.77673
2014,0.0212
2014,0.70904
2014,0.096
2014,0.04335
2014,0.0008
2014,0.02
2014,1.260896
2014,12.141152
2014,37.76724
2014,1.55460104
2014,1.03635
2015,0.0578
2015,0.06936
2015,0.0032
2015,0.03179
2015,0.05115
2015,0.065
2015,0.05423
2015,0.01445
2015,0.04624
2015,0.53318
2015,0.03468
2015,17.6
2015,0.10693
2015,0.1887
2015,0.034
2015,0.065
2015,0.02023
2015,0.02023
2015,0.21535332
2015,0.00128
2015,3.8370336
2015,2.25
2015,0.900864
2015,0.017
2015,0.14
2016,0
2017,0
2018,1.88993
2019,0
2020,1114.122786
2021,0
2022,155.690608
2023,0
2024,125.3419695
